id,nombre,apellido,genero,fecha_nacimiento,ocupacion,tipo_cuenta
RI-005-1019,Anthony,Wobo,M,1988-11-15,Farmer,Savings
FC-005-1011,Ruqayya,Fati,F,2003-04-09,Trader,Current
FC-002-1021,Usman,Abdulsalam,M,1987-03-28,Welder,Current
EN-001-1052,Chidimma,Nwosu,M,1999-08-31,Truck Driver,Current
KN-003-1102,Ismaila,Danjuma,M,2000-06-06,Trader,Current
KN-006-1060,Hassan,Bello,F,1988-01-02,Lawyer,Savings
RI-008-1027,John,Akobo,M,1988-02-26,Human Resources Specialist,Current
KN-004-1012,Halima,Ahmed,F,1997-07-19,Health Professional,Current
FC-005-1039,Akinbode,Onyekachi,F,1988-05-18,Trader,Savings
FC-005-1043,Christopher,Adebayo,F,1999-08-10,Student,Savings
EN-006-1008,Chukwuma,Ugochukwu,M,2003-11-28,Mechanic,Savings
FC-002-1015,Ifeanyi,Obi,M,2001-07-23,Student,Savings
FC-002-1024,Bello,Maryam,M,1989-06-15,Software Developer,Savings
FC-005-1005,Babatunde,Adekoya,M,1990-03-17,Mechanic,Savings
FC-005-1016,Abdullahi,Tijjani,M,1995-05-14,Electrician,Current
FC-006-1024,Chukwuemeka,Aikhomu,F,1988-12-29,Marketing Executive,Savings
LA-001-1194,Oluwapelumi,Omolara,M,1994-11-21,Mechanic,Savings
LA-004-1091,Daniel,Alao,M,2003-08-29,Health Professional,Current
EN-009-1023,Adaobi,Okezie,F,1989-06-20,Manager,Savings
FC-003-1015,Shehu,Abdulsalam,F,1993-05-01,Trader,Current
LA-005-1117,Camillus,Okoye,M,1999-10-23,Health Professional,Savings
LA-015-1111,Oluwadamilola,Rasaq,M,1995-03-14,Construction Worker,Current
KN-002-1052,Khadija,Garba,F,1986-05-22,Accountant,Current
RI-004-1016,Kenneth,Briggs,M,1986-02-23,Lawyer,Savings
KN-007-1162,Habiba,Amina,M,2008-05-25,Student,Savings
EN-007-1017,Ikechukwu,Nwabueze,M,1978-06-03,Factory Worker,Savings
KN-010-1188,Aisha,Sadiq,F,1999-12-31,Human Resources Specialist,Savings
LA-010-1013,Akindele,Akinola,M,1992-02-06,Factory Worker,Savings
FC-006-1021,Abdulaziz,Amina,F,1981-02-15,Health Professional,Savings
LA-006-1244,Ekanem,Egbeyemi,M,1981-10-02,Human Resources Specialist,Current
EN-006-1055,Amaka,Nwankwo,F,1999-02-08,Trader,Current
EN-009-1051,Onyinye,Amaechi,F,1993-07-30,Lawyer,Current
FC-002-1012,Ifeoma,Eze,F,1985-10-14,Lawyer,Savings
FC-005-1012,Nafisa,Khadija,F,1999-08-19,Engineer,Current
LA-015-1258,Oluwatobiloba,Odumosu,F,1990-10-08,Lawyer,Savings
LA-007-1276,Comfort,Eze,M,2005-12-15,Student,Savings
LA-014-1074,Rukayat,Adebayo,F,2002-04-02,Student,Savings
KN-005-1145,Zainab,Maryam,M,1983-06-03,Lawyer,Savings
LA-005-1246,Dora,Ogundele,F,2002-03-25,Trader,Savings
RI-001-1092,Gabriel,Wobo,F,1993-05-17,Trader,Savings
LA-004-1092,Durotimi,Oladipo,F,1993-04-09,Trader,Savings
EN-009-1091,Chiamaka,Okoye,F,2007-11-19,Student,Savings
FC-006-1020,Danladi,Fadila,F,1988-12-14,Engineer,Savings
FC-005-1004,Ngozi,Okonkwo,F,2003-05-07,Student,Savings
LA-011-1248,Ekanem,Oluwakanyinsola,M,1988-11-15,Marketing Executive,Savings
EN-001-1092,Ifeoma,Nwachukwu,F,1988-12-11,Software Developer,Savings
KN-007-1202,Yusuf,Hauwa,M,1991-05-07,Human Resources Specialist,Savings
FC-004-1036,Adeola,Oyebanji,M,1998-02-06,Carpenter,Current
EN-008-1019,Chinyere,Ojukwu,F,1998-07-20,Lawyer,Savings
LA-014-1241,Oluwadamilola,Okon,F,1981-05-28,Trader,Savings
LA-015-1291,Ayodele,Oluwabukola,M,1979-10-20,Welder,Savings
LA-011-1077,Chisom,Fajimi,F,1990-09-29,Data Analyst,Savings
KN-004-1066,Suleiman,Garba,F,1999-08-23,Trader,Current
RI-005-1101,Stanley,Ezeani,M,1987-09-10,Factory Worker,Current
KN-001-1020,Aisha,Lawal,F,1993-08-14,Marketing Executive,Current
KN-010-1122,Ibrahim,Danjuma,F,1989-12-15,Marketing Executive,Savings
LA-015-1131,Nike,Alade,M,2000-09-07,Human Resources Specialist,Savings
EN-006-1005,Chisom,Emezie,F,1986-05-03,Human Resources Specialist,Savings
FC-006-1032,Gbenga,Okon,F,1989-03-02,Lawyer,Savings
EN-004-1092,Ugochi,Okpara,M,2007-01-03,Student,Savings
RI-004-1014,Isaac,Wobo,M,1989-07-16,Engineer,Current
EN-004-1091,Ifunanya,Ojukwu,M,1985-12-20,Data Analyst,Current
LA-009-1250,Adenike,Adeniyi,M,1995-02-20,Carpenter,Current
FC-006-1022,Shehu,Rakiya,M,1996-12-28,Mechanic,Savings
FC-006-1031,Oluwakemi,Okon,F,1997-11-17,Lawyer,Current
KN-006-1193,Amina,Mariam,F,2000-10-06,Marketing Executive,Current
KN-002-1183,Amina,Abdulkadir,M,1979-05-04,Lawyer,Current
KN-004-1156,Salma,Bashir,F,2001-12-06,Human Resources Specialist,Current
EN-009-1089,Chukwudi,Nwachukwu,M,1990-12-12,Lawyer,Current
RI-007-1062,Ndidi,Briggs,M,1987-08-25,Farmer,Current
KN-010-1128,Abdulkadir,Bello,F,1989-10-31,Human Resources Specialist,Current
FC-006-1010,Aliyu,Firdausi,M,1989-08-24,Truck Driver,Current
LA-001-1235,Cynthia,Dare,F,1993-02-08,Engineer,Savings
RI-005-1095,Amadi,Brown,M,1993-05-04,Software Developer,Current
RI-007-1082,Samuel,Okeke,M,1997-04-25,Electrician,Current
EN-007-1087,Ifeanyi,Uche,M,2000-10-09,Student,Savings
EN-008-1066,Ebuka,Chukwuma,F,2002-03-16,Student,Savings
EN-005-1061,Chinonso,Madu,F,1999-08-28,Manager,Savings
FC-006-1002,Olawale,Adegbite,M,1993-12-28,Mechanic,Current
RI-002-1027,Chiamaka,Adeolu,F,1991-09-23,Lawyer,Current
LA-013-1175,Adesola,Makinde,F,1996-04-21,Manager,Current
LA-006-1181,Deji,Awosika,F,1990-09-01,Lawyer,Savings
RI-001-1001,Blessing,Obi,F,1999-06-10,Human Resources Specialist,Savings
KN-002-1055,Shehu,Ahmad,M,2001-02-17,Farmer,Savings
LA-005-1231,Chidiebube,Oluwapemi,F,1984-02-26,Health Professional,Savings
FC-003-1011,Shehu,Tijjani,M,1997-07-09,Farmer,Savings
KN-009-1146,Zainab,Rabi,F,1998-01-05,Human Resources Specialist,Savings
FC-005-1040,Pamela,Akinwande,M,1987-03-11,Construction Worker,Current
RI-007-1038,Chiagozie,Ezeani,F,1987-11-01,Lawyer,Current
RI-007-1102,Adaku,Nwosu,M,1997-12-02,Human Resources Specialist,Current
KN-006-1022,Halima,Ibrahim,F,1982-09-29,Health Professional,Current
EN-007-1093,Chikaodi,Amaechi,F,1990-06-07,Trader,Savings
LA-011-1023,Daniella,Eze,F,2002-06-30,Data Analyst,Savings
LA-011-1242,Chisom,Aluko,F,1990-12-03,Trader,Savings
LA-012-1064,Chidimma,Adegbite,M,1986-06-05,Mechanic,Savings
EN-009-1002,Ikenna,Nnamdi,M,1992-11-08,Manager,Savings
FC-003-1028,Daniel,Akande,F,1984-04-22,Engineer,Savings
FC-004-1025,Khadija,Sadiq,M,1996-03-04,Farmer,Current
KN-004-1072,Rukayya,Hassan,F,2003-02-25,Student,Savings
RI-005-1119,Mabel,Wike,M,1986-10-09,Human Resources Specialist,Savings
KN-010-1049,Halima,Aliyu,M,2009-06-04,Trader,Current
KN-005-1203,Hauwa,Maryam,M,1991-12-08,Welder,Current
EN-007-1100,Ngozi,Obioha,M,1993-06-13,Construction Worker,Savings
RI-006-1067,Chijioke,Nduka,M,2000-01-27,Welder,Savings
EN-002-1050,Chibuzo,Nweke,M,1995-06-30,Trader,Current
FC-004-1041,Qudus,Adeleke,M,1995-02-13,Manager,Savings
RI-004-1068,Sunday,Nwachukwu,F,1998-04-16,Human Resources Specialist,Savings
LA-008-1076,Damilola,Fajimi,M,1994-08-20,Software Developer,Current
EN-008-1076,Nnamdi,Okoye,M,1992-02-23,Engineer,Current
EN-006-1027,Ebuka,Uzochukwu,M,1994-12-31,Welder,Savings
EN-009-1060,Uchenna,Amaechi,M,1994-11-30,Data Analyst,Current
LA-013-1092,Nneka,Emeka,M,1980-01-16,Manager,Savings
FC-005-1037,Niyi,Okafor,M,1989-10-18,Electrician,Current
FC-005-1026,Abubakar,Mustapha,F,1993-05-14,Health Professional,Savings
FC-006-1006,Oluwakemi,Adeleke,F,1992-04-06,Health Professional,Current
FC-006-1023,Suleiman,Rukayya,M,1985-03-03,Factory Worker,Savings
RI-003-1018,Ifeoma,Ibezim,F,1978-08-31,Human Resources Specialist,Savings
EN-009-1092,Ogochukwu,Egbu,M,1985-02-22,Electrician,Current
FC-005-1023,Abdulrahman,Fati,F,2003-05-31,Health Professional,Current
KN-004-1063,Haruna,Musa,F,1987-04-20,Human Resources Specialist,Savings
KN-008-1081,Sani,Umar,F,1994-07-11,Accountant,Savings
EN-001-1102,Ikechukwu,Anya,M,1986-08-09,Welder,Current
FC-002-1023,Rukayat,Zara,F,1998-04-07,Health Professional,Savings
RI-007-1030,Josephine,Briggs,F,1994-09-12,Health Professional,Savings
KN-009-1062,Bashir,Aliyu,M,1997-05-06,Accountant,Savings
EN-001-1089,Chisom,Okoli,F,1992-09-15,Trader,Current
FC-005-1035,Enitan,Ngozi,F,1993-11-23,Marketing Executive,Current
RI-001-1051,Oluwaseyi,Olawale,F,1983-01-08,Data Analyst,Savings
LA-015-1276,Chibueze,Oluwagbemiga,M,2001-05-04,Student,Savings
EN-008-1063,Chiamaka,Ezeani,F,1990-01-28,Data Analyst,Savings
KN-003-1177,Umar,Salma,F,1995-04-25,Lawyer,Current
EN-008-1045,Emeka,Onyekwere,M,1992-11-22,Mechanic,Savings
FC-005-1036,Omolabake,Mohammed,F,1988-12-01,Engineer,Savings
FC-005-1002,Emeka,Nwosu,M,1986-10-29,Electrician,Savings
RI-004-1094,Juliet,Nwachukwu,F,1978-09-26,Accountant,Current
KN-010-1173,Rukayat,Musa,M,1987-09-01,Health Professional,Current
KN-010-1097,Musa,Farouk,F,1998-02-06,Accountant,Savings
LA-010-1118,Cornelius,Nwachukwu,M,1987-03-09,Data Analyst,Current
EN-009-1012,Ugochukwu,Onwuka,M,1993-08-07,Electrician,Savings
LA-011-1044,Nkele,Ayodele,M,1986-03-03,Health Professional,Current
KN-002-1106,Fati,Yusuf,M,1998-01-05,Engineer,Current
EN-009-1066,Uchenna,Okeke,F,1997-09-03,Engineer,Current
FC-001-1042,Adebowale,Oluwatobiloba,M,2002-09-14,Carpenter,Savings
RI-001-1017,Mary,Briggs,F,1991-01-04,Software Developer,Current
RI-003-1027,Chinedu,Amadi,M,1998-10-24,Engineer,Savings
LA-009-1007,Deji,Ogundele,M,1985-08-02,Factory Worker,Current
RI-008-1098,Chisom,Adeyemo,F,1996-02-22,Manager,Current
LA-013-1235,Adenike,Okafor,F,1995-11-01,Manager,Current
EN-009-1082,Chizoba,Obasi,F,1989-11-12,Data Analyst,Savings
EN-001-1007,Oluoma,Okezie,F,1978-03-22,Accountant,Savings
KN-004-1187,Fadila,Amina,F,1985-11-21,Health Professional,Current
LA-013-1211,Habiba,Okpara,M,1993-02-20,Construction Worker,Current
RI-005-1031,Godwin,Wachukwu,M,1986-09-03,Electrician,Current
FC-006-1004,Adebayo,Adeyemi,M,1982-12-01,Health Professional,Savings
KN-010-1181,Abdulrahman,Nura,M,1990-06-24,Plumber,Current
LA-012-1053,Olufemi,Ajayi,F,1988-06-12,Engineer,Current
FC-002-1014,Obinna,Ezeanya,M,2002-10-18,Farmer,Savings
LA-013-1032,Chisom,Adebisi,M,1987-10-25,Farmer,Current
KN-002-1029,Rukayya,Usman,M,1997-03-05,Mechanic,Savings
RI-009-1001,Chiamaka,Okoroafor,F,1999-11-02,Health Professional,Savings
EN-007-1071,Ijeoma,Okeke,M,1998-04-01,Data Analyst,Savings
FC-005-1007,Oluwaseun,Adewale,F,1992-03-15,Health Professional,Savings
FC-005-1003,Oluwaseun,Ogunjobi,F,1994-11-16,Human Resources Specialist,Current
KN-002-1007,Amina,Yusuf,F,1995-02-08,Accountant,Savings
EN-009-1074,Nkechi,Nwachukwu,M,1998-06-20,Plumber,Current
KN-008-1077,Fati,Ibrahim,F,1994-02-14,Lawyer,Current
EN-005-1080,Ogechukwu,Ugwu,M,1980-09-13,Plumber,Current
LA-011-1073,Aremu,Onyekachi,M,1980-08-21,Mechanic,Current
RI-006-1007,Amadi,Akobo,M,1998-05-28,Farmer,Current
LA-012-1208,Olumide,Oluwaseyi,M,1992-12-07,Human Resources Specialist,Savings
RI-002-1091,Adaeze,Pepple,M,1991-02-07,Carpenter,Savings
RI-002-1103,Mary,Okon,F,1989-02-10,Software Developer,Savings
FC-001-1037,Oluwatimilehin,Igwe,F,1996-10-14,Human Resources Specialist,Savings
FC-005-1020,Sadiya,Rukayat,M,1993-12-16,Human Resources Specialist,Savings
KN-009-1159,Musa,Amina,F,1985-12-23,Trader,Current
LA-002-1004,Anita,Okoye,F,1989-04-13,Accountant,Savings
KN-008-1025,Maryam,Ibrahim,F,1997-08-17,Human Resources Specialist,Current
EN-003-1070,Okechukwu,Onyebuchi,F,1994-10-31,Marketing Executive,Savings
KN-010-1207,Fati,Sadiq,M,1991-07-30,Welder,Savings
LA-006-1007,Boniface,Onyeka,M,1979-12-23,Carpenter,Current
RI-002-1035,Collins,Eze,F,1979-12-20,Engineer,Current
KN-005-1095,Umaru,Yusuf,M,1987-11-08,Truck Driver,Current
KN-010-1193,Rakiya,Salisu,F,1980-01-03,Human Resources Specialist,Current
LA-012-1175,Benjamin,Oladipo,M,1981-06-04,Construction Worker,Current
FC-001-1041,Alice,Ayodele,F,1988-02-23,Health Professional,Current
EN-005-1024,Chinaza,Onyia,F,1998-08-06,Human Resources Specialist,Current
FC-003-1029,Daniel,Akinwale,F,1999-10-05,Student,Savings
RI-010-1028,Ifeanyichukwu,Ugochukwu,M,1983-04-13,Factory Worker,Current
RI-006-1004,Solomon,Pepple,M,2003-02-12,Student,Savings
LA-009-1242,Ifeoluwa,Balogun,M,1982-04-26,Lawyer,Savings
RI-002-1032,Emmanuel,Wike,F,1984-08-13,Software Developer,Savings
EN-006-1088,Ngozi,Onyema,M,2003-08-14,Student,Savings
KN-010-1148,Yakubu,Hauwa,F,1990-04-26,Human Resources Specialist,Savings
FC-004-1043,Iretiola,Okeke,F,1984-04-29,Lawyer,Current
RI-010-1079,Tari,Maple,F,1996-01-09,Trader,Current
FC-006-1026,Bridget,Akinsanya,M,1992-09-06,Construction Worker,Current
EN-004-1012,Ebuka,Ezeoke,M,1982-07-21,Marketing Executive,Current
RI-008-1045,Sandra,Amadi,M,1989-04-12,Marketing Executive,Current
EN-005-1004,Ifunanya,Uche,F,1998-05-16,Marketing Executive,Current
FC-001-1031,Damilare,Okoli,F,1991-05-13,Trader,Current
LA-002-1267,Chika,Aikhomu,F,2001-03-05,Student,Savings
FC-001-1045,Kikelomo,Oguntade,F,1991-01-22,Human Resources Specialist,Savings
EN-006-1020,Ebubechukwu,Ojukwu,M,2002-07-03,Student,Savings
EN-005-1007,Obumneme,Ezeoke,M,1985-03-29,Accountant,Current
EN-001-1002,Ngozi,Anya,F,1993-10-02,Marketing Executive,Current
LA-009-1053,Alfred,Dosunmu,F,1987-12-16,Manager,Current
LA-003-1288,Elizabeth,Okonkwo,F,1990-03-25,Accountant,Current
KN-009-1167,Musa,Tijjani,F,1995-10-06,Health Professional,Savings
EN-005-1079,Nnamdi,Eke,F,1993-12-15,Marketing Executive,Current
LA-014-1033,Oluwatosin,Ige,F,1981-06-03,Data Analyst,Current
FC-004-1026,Tijjani,Hauwa,M,1996-08-26,Manager,Savings
FC-002-1011,Temitope,Adebayo,M,1991-11-16,Software Developer,Savings
EN-009-1069,Obinna,Madu,F,1986-02-07,Engineer,Savings
RI-005-1106,Emeka,Eze,F,1994-12-06,Human Resources Specialist,Savings
KN-007-1096,Habiba,Ahmed,M,1991-03-10,Farmer,Savings
LA-009-1134,Afolabi,Nnaji,F,1987-10-12,Lawyer,Current
LA-012-1137,Ademiluyi,Balogun,F,1996-05-16,Health Professional,Current
FC-002-1037,Adebisi,Davies,M,1989-05-09,Plumber,Savings
FC-006-1018,Mariam,Nasiru,M,1998-08-25,Farmer,Current
LA-006-1037,Bamidele,Eyo,F,2003-06-10,Student,Savings
LA-015-1094,Babatunde,Okafor,M,1998-07-25,Student,Savings
LA-015-1145,Ekanem,Gbadamosi,F,1998-09-14,Accountant,Savings
KN-002-1126,Abubakar,Lawal,F,1989-03-28,Health Professional,Current
RI-008-1065,Anayo,Amaechi,M,1990-12-06,Health Professional,Current
RI-005-1114,Esther,Brown,M,2003-01-22,Student,Savings
LA-007-1048,Ifeoluwa,Gbenga,M,1987-12-22,Manager,Savings
LA-011-1079,Oluwatimilehin,Nkele,F,1990-08-20,Manager,Current
KN-004-1207,Usman,Hauwa,F,1995-08-02,Engineer,Savings
EN-009-1055,Ikemefuna,Nwachukwu,M,2002-03-08,Student,Savings
EN-006-1004,Nnamdi,Nweke,M,1987-08-16,Factory Worker,Savings
EN-007-1004,Ndubuisi,Ugwu,M,1996-05-03,Truck Driver,Current
RI-010-1018,Sopuluchukwu,Nduka,M,2002-01-09,Student,Savings
FC-003-1010,Tochukwu,Okonkwo,M,1988-10-06,Construction Worker,Savings
FC-005-1034,Olubunmi,Akinola,F,1996-11-13,Engineer,Savings
FC-004-1032,Ahmed,Nkechi,M,2001-07-16,Mechanic,Savings
EN-001-1050,Uzoma,Eke,M,1989-12-31,Welder,Savings
FC-006-1025,Dayo,Nnaji,F,1981-03-21,Marketing Executive,Current
FC-004-1035,Aladejobi,Jegede,M,1994-01-07,Lawyer,Savings
RI-001-1106,Chinwe,Adeolu,F,1992-07-06,Health Professional,Savings
RI-007-1047,Oluwakemi,Nwachukwu,M,2002-12-30,Accountant,Savings
EN-006-1016,Ugochi,Okoli,F,1997-05-03,Human Resources Specialist,Current
FC-001-1021,Zainab,Fadila,M,1995-07-20,Farmer,Current
RI-009-1093,Obinna,Amadi,M,1985-03-02,Engineer,Current
LA-010-1252,Daniel,Ekeinde,F,1982-12-24,Software Developer,Savings
KN-006-1021,Garba,Hassan,F,1997-01-15,Lawyer,Current
EN-009-1081,Adaora,Obiekezie,F,1998-09-23,Human Resources Specialist,Current
LA-001-1226,Albert,Okereke,F,1995-12-14,Trader,Current
LA-014-1188,Oluwaseyi,Ekundayo,F,1984-08-28,Marketing Executive,Current
LA-006-1012,Efosa,Aikhomu,M,1995-02-13,Software Developer,Current
LA-002-1088,Deborah,Oluwatofunmi,M,1994-04-14,Welder,Savings
LA-014-1056,Omotayo,Adebayo,F,1978-11-02,Engineer,Savings
KN-008-1189,Adamu,Salisu,M,1995-04-21,Mechanic,Current
KN-004-1104,Fadila,Muhammad,F,1995-02-05,Health Professional,Savings
LA-005-1062,Chizoba,Alade,M,1989-06-16,Mechanic,Current
RI-007-1058,Edidiong,Onwuka,M,1983-01-14,Lawyer,Savings
KN-004-1186,Halima,Mustapha,M,1987-05-30,Trader,Savings
LA-009-1269,Akinbiyi,Yusuf,M,1989-06-16,Accountant,Current
LA-014-1252,Niyi,Nwankwo,M,1985-12-26,Construction Worker,Current
RI-001-1028,Oladapo,Chukwu,M,1990-04-06,Data Analyst,Savings
FC-004-1037,Adedeji,Aikhomu,F,1987-10-25,Lawyer,Current
LA-005-1076,Oluwasegun,Alao,F,1987-10-14,Health Professional,Savings
RI-007-1098,Tonia,Peterside,F,1997-11-14,Health Professional,Savings
EN-003-1022,Ugochukwu,Okezie,M,1996-04-08,Lawyer,Current
EN-008-1075,Chidiebere,Ibe,F,1994-10-12,Manager,Savings
EN-007-1035,Nkemjika,Obi,F,1998-08-03,Manager,Current
FC-005-1010,Firdausi,Aisha,M,1997-07-03,Factory Worker,Savings
EN-007-1025,Kelechi,Nnaji,M,1985-02-27,Electrician,Savings
FC-001-1012,Abdulkadir,Haruna,M,1990-02-26,Carpenter,Savings
LA-015-1052,Oluwalonimi,Akpan,F,2000-01-20,Student,Savings
LA-002-1145,Elijah,Akinwale,F,1986-09-26,Software Developer,Savings
EN-004-1010,Chioma,Ibe,F,1980-01-19,Manager,Savings
RI-002-1086,Chibuzor,Chukwuemeka,M,1985-08-26,Accountant,Current
KN-010-1167,Rukayat,Mustapha,F,1996-06-02,Lawyer,Current
KN-006-1171,Nafisa,Nura,M,2003-07-11,Accountant,Savings
FC-002-1045,Agnes,Eko,M,1998-12-31,Data Analyst,Savings
EN-004-1054,Chioma,Ezeudu,M,1984-07-06,Electrician,Current
LA-009-1143,Opeyemi,Ademola,M,1995-04-11,Truck Driver,Current
LA-012-1063,Oluwaseun,Alade,F,2000-04-02,Student,Savings
RI-007-1086,Chiamaka,Okeke,F,1985-12-19,Data Analyst,Savings
EN-006-1073,Chukwuemeka,Ike,F,1996-05-15,Data Analyst,Current
EN-008-1018,Amaka,Obi,F,2001-10-18,Marketing Executive,Current
EN-007-1063,Chigozie,Onyejekwe,F,1995-11-27,Data Analyst,Savings
EN-007-1016,Chidiebere,Iloka,M,2000-03-31,Lawyer,Current
EN-008-1011,Ugochukwu,Obi,M,2006-02-12,Student,Savings
KN-002-1104,Umar,Lawal,F,1989-03-19,Lawyer,Current
